Date,Country,Cumulative no. of cases,Cumulative no. of deaths,Link
5/14/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Israel,7,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Italy,9,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Japan,4,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Mexico,2446,60,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,New Zealand,7,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Norway,2,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Panama,29,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Poland,1,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Spain,100,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Sweden,2,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,United Kingdom,71,0,https://www.who.int/csr/don/2009_05_14/en/
5/14/09,United States of America,3352,3,https://www.who.int/csr/don/2009_05_14/en/
5/15/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Australia,1,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Austria,1,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Belgium,1,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Canada,449,1,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,China,4,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Colombia,10,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Costa Rica,8,1,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Cuba,3,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,El Salvador,4,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Finland,2,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,France,14,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Germany,12,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Guatemala,3,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Israel,7,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Italy,9,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Japan,4,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Mexico,2446,60,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,New Zealand,7,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Norway,2,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Panama,40,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Poland,1,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Spain,100,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Sweden,2,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,United Kingdom,71,0,https://www.who.int/csr/don/2009_05_15/en/
5/15/09,United States of America,4298,3,https://www.who.int/csr/don/2009_05_15/en/
5/16/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Australia,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Austria,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Belgium,2,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Canada,496,1,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,China,4,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Colombia,11,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Costa Rica,9,1,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Cuba,3,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Ecuador,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,El Salvador,4,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Finland,2,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,France,14,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Germany,14,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Guatemala,3,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Israel,7,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Italy,9,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Japan,4,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Mexico,2895,66,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,New Zealand,9,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Norway,2,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Panama,43,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Peru,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Poland,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Spain,100,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Sweden,2,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,United Kingdom,78,0,https://www.who.int/csr/don/2009_05_16/en/
5/16/09,United States of America,4714,4,https://www.who.int/csr/don/2009_05_16/en/
5/17/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Australia,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Austria,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Belgium,4,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Canada,496,1,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,China,5,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Colombia,11,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Costa Rica,9,1,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Cuba,3,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Ecuador,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,El Salvador,4,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Finland,2,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,France,14,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Germany,14,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Guatemala,3,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,India,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Israel,7,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Italy,9,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Japan,7,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Malaysia,2,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Mexico,2895,66,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,New Zealand,9,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Norway,2,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Panama,54,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Peru,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Poland,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Spain,103,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Sweden,3,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,Turkey,1,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,United Kingdom,82,0,https://www.who.int/csr/don/2009_05_17/en/
5/17/09,United States of America,4714,4,https://www.who.int/csr/don/2009_05_17/en/
5/18/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Australia,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Austria,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Belgium,5,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Canada,496,1,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Chile,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,China,6,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Colombia,11,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Costa Rica,9,1,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Cuba,3,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Ecuador,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,El Salvador,4,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Finland,2,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,France,14,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Germany,14,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Guatemala,3,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,India,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Israel,7,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Italy,9,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Japan,125,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Malaysia,2,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Mexico,3103,68,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,New Zealand,9,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Norway,2,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Panama,54,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Peru,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Poland,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Spain,103,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Sweden,3,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,Turkey,2,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,UK,101,0,https://www.who.int/csr/don/2009_05_18/en/
5/18/09,United States of America,4714,4,https://www.who.int/csr/don/2009_05_18/en/
5/19/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Australia,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Austria,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Belgium,5,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Canada,496,1,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Chile,4,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,China,7,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Colombia,11,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Costa Rica,9,1,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Cuba,3,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Ecuador,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,El Salvador,6,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Finland,2,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,France,14,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Germany,14,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Guatemala,3,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,India,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Israel,7,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Italy,9,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Japan,159,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Malaysia,2,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Mexico,3648,72,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,New Zealand,9,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Norway,2,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Panama,59,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Peru,2,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Poland,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Spain,103,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Sweden,3,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,Turkey,2,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,UK,102,0,https://www.who.int/csr/don/2009_05_19/en/
5/19/09,United States of America,5123,5,https://www.who.int/csr/don/2009_05_19/en/
5/20/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Australia,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Austria,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Belgium,5,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Canada,496,1,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Chile,5,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,China,7,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Colombia,12,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Costa Rica,9,1,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Cuba,3,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Ecuador,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,El Salvador,6,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Finland,2,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,France,15,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Germany,14,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Greece,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Guatemala,3,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,India,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Israel,7,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Italy,9,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Japan,210,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Malaysia,2,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Mexico,3648,72,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,New Zealand,9,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Norway,2,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Panama,65,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Peru,3,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Poland,2,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Spain,107,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Sweden,3,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,Turkey,2,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,United Kingdom,102,0,https://www.who.int/csr/don/2009_05_20/en/
5/20/09,United States of America,5469,6,https://www.who.int/csr/don/2009_05_20/en/
5/21/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Australia,3,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Austria,1,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Belgium,5,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Canada,719,1,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Chile,5,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,China,8,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Colombia,12,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Costa Rica,20,1,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Cuba,4,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Ecuador,1,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,El Salvador,6,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Finland,2,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,France,16,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Germany,14,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Greece,1,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Guatemala,4,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,India,1,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Israel,7,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Italy,10,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Japan,259,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Malaysia,2,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Mexico,3892,75,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,New Zealand,9,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Norway,3,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Panama,69,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Peru,3,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Poland,2,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Spain,111,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Sweden,3,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,Turkey,2,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,United Kingdom,109,0,https://www.who.int/csr/don/2009_05_21/en/
5/21/09,United States of America,5710,8,https://www.who.int/csr/don/2009_05_21/en/
5/22/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Australia,7,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Austria,1,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Belgium,5,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Canada,719,1,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Chile,24,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,China,11,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Colombia,12,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Costa Rica,20,1,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Cuba,4,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Ecuador,8,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,El Salvador,6,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Finland,2,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,France,16,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Germany,14,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Greece,1,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Guatemala,4,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,India,1,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Israel,7,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Italy,10,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Japan,294,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Malaysia,2,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Mexico,3892,75,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,New Zealand,9,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Norway,3,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Panama,73,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Peru,5,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Philippines,1,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Poland,2,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Spain,113,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Sweden,3,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Switzerland,1,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Thailand,2,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,Turkey,2,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,United Kingdom,112,0,https://www.who.int/csr/don/2009_05_22/en/
5/22/09,United States of America,5764,9,https://www.who.int/csr/don/2009_05_22/en/
5/23/09,Argentina,1,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Australia,12,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Austria,1,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Belgium,7,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Brazil,8,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Canada,719,1,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Chile,24,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,China,11,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Colombia,12,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Costa Rica,20,1,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Cuba,4,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Denmark,1,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Ecuador,8,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,El Salvador,6,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Finland,2,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,France,16,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Germany,17,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Greece,1,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Guatemala,4,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,India,1,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Ireland,1,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Israel,7,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Italy,14,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Japan,321,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Malaysia,2,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Mexico,3892,75,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Netherlands,3,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,New Zealand,9,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Norway,4,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Panama,76,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Peru,5,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Philippines,1,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Poland,2,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Portugal,1,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Republic of Korea,3,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Russia,1,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Spain,126,0,https://www.who.int/csr/don/2009_05_23/en/
5/23/09,Sweden,3,0,https://www.who.int/csr/don/2009_05_23/en/
